test_id,point_id,moisture_content_pct,dry_unit_weight_kN_m3
T01,1,6.8,17.495
T01,2,8.59,18.274
T01,3,11.02,18.758
T01,4,13.0,18.272
T01,5,14.82,17.52
T02,1,6.54,17.937
T02,2,8.55,18.904
T02,3,10.56,19.206
T02,4,12.99,18.639
T02,5,14.35,17.941
T03,1,5.89,18.267
T03,2,7.73,19.174
T03,3,9.85,19.453
T03,4,11.69,19.126
T03,5,13.75,18.185
T04,1,8.19,17.71
T04,2,9.91,18.432
T04,3,11.88,18.849
T04,4,14.21,18.479
T04,5,15.95,17.774
T05,1,5.77,17.905
T05,2,8.19,18.993
T05,3,9.96,19.236
T05,4,12.08,18.957
T05,5,14.19,17.833
T06,1,5.24,17.326
T06,2,6.82,18.249
T06,3,9.0,18.624
T06,4,10.82,18.314
T06,5,12.97,17.288
T07,1,6.63,17.817
T07,2,8.91,18.694
T07,3,10.78,18.927
T07,4,12.66,18.545
T07,5,14.94,17.674
T08,1,6.03,17.218
T08,2,7.74,18.158
T08,3,10.34,18.55
T08,4,12.07,18.291
T08,5,14.17,17.354
T09,1,4.58,17.772
T09,2,6.64,18.672
T09,3,9.36,18.948
T09,4,10.62,18.748
T09,5,13.03,17.664
T10,1,7.02,17.934
T10,2,9.27,18.795
T10,3,11.0,18.897
T10,4,12.84,18.61
T10,5,15.22,17.724
T11,1,8.22,17.713
T11,2,10.18,18.792
T11,3,12.31,19.051
T11,4,14.58,18.593
T11,5,16.25,17.794
T12,1,6.5,18.508
T12,2,8.13,19.305
T12,3,9.99,19.628
T12,4,12.11,19.527
T12,5,14.23,18.514
T13,1,9.44,16.317
T13,2,11.94,17.319
T13,3,13.71,17.851
T13,4,15.84,17.374
T13,5,17.76,16.745
T14,1,13.4,18.086
T14,2,15.31,18.769
T14,3,17.11,18.917
T14,4,19.17,18.771
T14,5,20.86,18.254
T15,1,11.58,17.185
T15,2,13.28,17.58
T15,3,15.0,18.013
T15,4,16.91,17.796
T15,5,19.48,16.724
T16,1,9.79,16.79
T16,2,12.37,17.819
T16,3,14.48,17.783
T16,4,16.51,17.747
T16,5,18.34,17.071
T17,1,11.36,16.731
T17,2,13.04,17.08
T17,3,15.13,17.439
T17,4,16.85,17.151
T17,5,18.94,16.55
T18,1,12.06,17.708
T18,2,13.73,18.35
T18,3,15.65,18.573
T18,4,17.91,18.114
T18,5,19.6,17.77
T19,1,11.18,17.054
T19,2,13.3,17.792
T19,3,14.94,17.895
T19,4,17.29,17.658
T19,5,19.35,16.844
T20,1,11.67,17.493
T20,2,13.46,17.935
T20,3,15.79,18.033
T20,4,17.67,18.023
T20,5,19.67,17.06
T21,1,11.2,17.424
T21,2,12.78,17.992
T21,3,14.55,18.364
T21,4,17.14,18.091
T21,5,19.01,17.434
T22,1,10.36,16.964
T22,2,11.66,17.348
T22,3,13.83,17.738
T22,4,15.78,17.663
T22,5,17.57,17.166
T23,1,11.12,17.438
T23,2,13.35,18.042
T23,3,14.57,18.408
T23,4,17.02,18.021
T23,5,18.66,17.433
T24,1,9.35,16.431
T24,2,11.98,17.516
T24,3,13.63,17.704
T24,4,15.99,17.235
T24,5,17.81,16.553
T25,1,18.44,15.094
T25,2,20.61,15.603
T25,3,22.65,15.796
T25,4,25.21,15.58
T25,5,27.0,15.116
T26,1,16.6,16.114
T26,2,18.44,16.597
T26,3,20.41,16.708
T26,4,22.26,16.52
T26,5,24.56,16.013
T27,1,16.33,15.76
T27,2,18.13,16.394
T27,3,19.76,16.47
T27,4,22.37,16.435
T27,5,25.11,15.638
T28,1,16.64,15.661
T28,2,19.2,16.435
T28,3,20.81,16.681
T28,4,23.21,16.246
T28,5,24.75,15.712
T29,1,15.86,15.552
T29,2,18.08,16.107
T29,3,20.34,16.46
T29,4,22.24,16.287
T29,5,24.22,15.747
T30,1,17.67,15.526
T30,2,19.87,16.123
T30,3,21.97,16.281
T30,4,23.9,16.18
T30,5,25.7,15.643
T31,1,14.62,15.554
T31,2,16.77,16.181
T31,3,18.08,16.061
T31,4,20.39,15.983
T31,5,22.61,15.561
T32,1,19.78,14.878
T32,2,21.64,15.411
T32,3,23.13,15.683
T32,4,25.71,15.484
T32,5,27.43,14.941
T33,1,14.48,15.805
T33,2,16.36,16.223
T33,3,18.15,16.479
T33,4,20.67,16.147
T33,5,22.19,15.726
T34,1,19.11,15.141
T34,2,21.13,15.732
T34,3,22.9,15.742
T34,4,25.33,15.525
T34,5,27.31,15.054
T35,1,18.13,14.637
T35,2,20.06,15.259
T35,3,21.77,15.347
T35,4,24.03,15.211
T35,5,26.29,14.605
T36,1,13.94,14.587
T36,2,16.48,15.389
T36,3,18.36,15.523
T36,4,20.87,15.259
T36,5,22.38,14.647
