test_id,omc_pct,mdd_kN_m3,gravel_pct,sand_pct,fines_pct,liquid_limit_pct,plastic_limit_pct,plasticity_index_pct,specific_gravity
T01,10.8,18.73,23.1,74.9,2.0,18.8,13.5,5.3,2.661
T02,10.45,19.12,13.3,78.0,8.7,22.3,18.0,4.3,2.686
T03,9.68,19.49,23.5,73.3,3.2,24.9,19.7,5.2,2.677
T04,11.99,18.81,24.9,54.9,20.2,24.7,18.5,6.2,2.691
T05,10.07,19.27,22.2,64.9,12.9,21.4,17.1,4.3,2.659
T06,9.05,18.6,11.2,72.5,16.3,22.5,14.9,7.6,2.659
T07,10.57,18.96,19.0,66.1,14.9,23.0,20.1,3.0,2.675
T08,10.28,18.54,10.7,69.3,19.9,32.0,21.2,10.8,2.682
T09,8.83,18.98,17.3,80.7,2.0,27.9,23.9,4.0,2.634
T10,10.95,19.0,9.4,57.6,33.0,30.3,25.0,5.3,2.666
T11,12.22,19.12,15.7,81.5,2.8,20.4,14.1,6.3,2.658
T12,10.17,19.61,8.8,68.9,22.3,22.7,15.7,7.0,2.686
T13,13.98,17.69,2.1,37.6,60.2,39.0,30.2,8.8,2.67
T14,17.2,18.96,3.3,39.2,57.6,41.6,33.6,8.0,2.683
T15,15.19,17.94,8.3,42.6,49.1,34.6,23.9,10.7,2.753
T16,14.43,17.91,8.2,40.0,51.7,31.7,20.3,11.5,2.734
T17,14.93,17.38,6.6,50.5,42.9,41.7,27.1,14.5,2.703
T18,15.9,18.53,10.9,31.0,58.0,27.1,17.7,9.4,2.735
T19,15.09,17.97,14.6,27.9,57.5,36.0,29.7,6.3,2.734
T20,15.46,18.2,3.7,39.9,56.4,29.3,20.7,8.5,2.696
T21,15.13,18.32,1.6,34.3,64.0,29.0,16.7,12.3,2.706
T22,14.15,17.73,8.9,48.1,43.0,35.6,25.4,10.2,2.686
T23,14.92,18.34,8.5,36.6,55.0,25.6,17.3,8.3,2.679
T24,13.72,17.54,9.6,40.4,49.9,34.8,19.8,15.0,2.68
T25,22.72,15.82,5.0,23.7,71.4,46.2,30.1,16.1,2.658
T26,20.46,16.68,0.5,22.9,76.6,53.6,22.4,31.2,2.723
T27,20.51,16.62,0.0,22.5,77.5,41.5,10.7,30.8,2.747
T28,20.86,16.56,5.1,29.1,65.8,58.3,26.1,32.1,2.691
T29,20.28,16.4,0.0,28.8,71.2,60.0,45.0,12.0,2.696
T30,21.89,16.33,10.2,23.5,66.3,46.7,27.9,18.8,2.683
T31,18.68,16.17,4.8,17.6,77.6,41.8,11.1,30.7,2.757
T32,23.58,15.65,4.9,38.0,57.1,43.0,21.2,21.9,2.704
T33,18.3,16.44,0.9,26.4,72.7,55.1,35.2,20.0,2.682
T34,23.18,15.73,0.0,33.6,66.4,49.2,34.8,14.3,2.711
T35,21.98,15.42,4.3,20.5,75.2,50.8,18.4,32.3,2.687
T36,18.27,15.47,5.7,21.4,72.8,57.5,32.1,25.4,2.699
